variant,case_id,n_samples,greedy_score,mean_score,std_score,max_score,min_score,oracle_win_over_greedy,all_low,all_high
Qwen-SFT-CK,09b0ee6_1,9,-0.36000000000000004,0.6422222222222222,0.7817754405877514,1.3,-0.62,True,False,False
Qwen-SFT-CK,09b0ee6_2,9,0.0,0.38055555555555554,0.8157288644193692,1.3,-0.6,True,False,False
Qwen-SFT-CK,0d8a4ee_2,9,-0.24000000000000005,0.14333333333333334,0.5047551661724502,1.12,-0.6,True,False,False
Qwen-SFT-CK,1150ed6_2,9,1.16,1.145,0.109188929027728,1.3,1.0,True,False,True
Qwen-SFT-CK,13547f5_3,9,1.19,1.1894444444444447,0.14044462025305454,1.3,0.84,True,False,True
Qwen-SFT-CK,166f4ff_1,9,1.145,0.8177777777777778,0.607902181052507,1.3,-0.29000000000000004,True,False,False
Qwen-SFT-CK,166f4ff_2,9,1.195,0.6205555555555555,0.7005808877259738,1.3,-0.35000000000000003,True,False,False
Qwen-SFT-CK,166f4ff_3,9,1.3,0.4088888888888888,0.6063816994534867,1.3,-0.49000000000000005,False,False,False
Qwen-SFT-CK,21abae1_1,9,-0.25000000000000006,0.2638888888888889,0.6444798840830134,1.17,-0.6,True,False,False
Qwen-SFT-CK,21abae1_2,9,-0.19,0.25611111111111107,0.4641705731599692,0.87,-0.35000000000000003,True,False,False
Qwen-SFT-CK,21abae1_3,9,0.059999999999999956,0.12555555555555553,0.5141089618858614,1.02,-0.43500000000000005,True,False,False
Qwen-SFT-CK,37a8675_1,9,-0.030000000000000013,0.17333333333333328,0.424394994210713,0.89,-0.6,True,False,False
Qwen-SFT-CK,37a8675_2,9,-0.029999999999999985,0.17555555555555555,0.2870486258114588,0.725,-0.2,True,False,False
Qwen-SFT-CK,37a8675_3,9,1.16,0.6472222222222223,0.5162638812290944,1.1900000000000002,-0.05000000000000006,True,False,False
Qwen-SFT-CK,383cbac_1,9,1.0799999999999998,1.0622222222222222,0.39029270434089386,1.3,0.0,True,False,False
Qwen-SFT-CK,383cbac_2,9,1.3,0.5105555555555557,0.6993665564258228,1.3,-0.5,False,False,False
Qwen-SFT-CK,396c5a2_1,9,0.6399999999999999,1.0661111111111112,0.2166125288489126,1.3,0.6399999999999999,True,False,False
Qwen-SFT-CK,396c5a2_2,9,1.3,0.9833333333333333,0.509531375110721,1.3,-0.4,False,False,False
Qwen-SFT-CK,3ab5b8b_1,9,1.145,0.8655555555555556,0.5292943123969901,1.3,-0.34,True,False,False
Qwen-SFT-CK,4ec8de5_1,9,0.14999999999999997,0.7988888888888889,0.561455339956289,1.3,0.0,True,False,False
Qwen-SFT-CK,4ec8de5_3,9,0.9,0.6866666666666666,0.4918502482124683,1.3,-0.13000000000000006,True,False,False
Qwen-SFT-CK,4fab96f_1,9,0.0,0.9094444444444445,0.48758158544917973,1.23,0.0,True,False,False
Qwen-SFT-CK,4fab96f_2,9,0.77,0.7527777777777779,0.5667309331748921,1.2000000000000002,-0.51,True,False,False
Qwen-SFT-CK,50e1ac9_1,9,-0.49000000000000005,0.4372222222222222,0.7762270254646694,1.3,-0.6,True,False,False
Qwen-SFT-CK,530b157_3,9,0.0,1.072222222222222,0.42357677456467946,1.3,0.0,True,False,False
Qwen-SFT-CK,57c3486_1,9,1.2,1.0655555555555556,0.23711746320763621,1.3,0.5299999999999999,True,False,False
Qwen-SFT-CK,57c3486_2,9,1.3,1.1566666666666667,0.14118545723031584,1.3,0.9,False,False,True
Qwen-SFT-CK,57c3486_3,9,1.3,0.6749999999999999,0.5688292069388373,1.3,-0.19000000000000006,False,False,False
Qwen-SFT-CK,6171bbc_2,9,1.3,1.1583333333333334,0.10803805913761237,1.3,1.0,False,False,True
Qwen-SFT-CK,6171bbc_3,9,-0.17000000000000004,0.7999999999999999,0.623377895020348,1.3,-0.17000000000000004,True,False,False
Qwen-SFT-CK,68ee2c9_2,9,-0.4050000000000001,0.17111111111111107,0.47821878871134205,0.99,-0.4050000000000001,True,False,False
Qwen-SFT-CK,6c2c621_1,9,1.3,0.7483333333333334,0.6527037783115878,1.3,-0.42500000000000004,False,False,False
Qwen-SFT-CK,6c2c621_2,9,1.0099999999999998,0.826111111111111,0.41855424298528815,1.1500000000000001,-0.04999999999999999,True,False,False
Qwen-SFT-CK,6c2c621_3,9,1.3,1.0811111111111111,0.42188583090806414,1.3,-0.06000000000000001,False,False,False
Qwen-SFT-CK,b119b1f_1,9,1.15,1.0044444444444443,0.37399082315274684,1.3,0.17999999999999994,True,False,False
Qwen-SFT-CK,b119b1f_2,9,1.29,1.1688888888888889,0.11308251111903936,1.3,0.98,True,False,True
Qwen-SFT-CK,d4e9306_1,9,-0.4,0.9199999999999999,0.5143064369722695,1.3,-0.4,True,False,False
Qwen-SFT-CK,d4e9306_2,9,1.0,0.9055555555555556,0.40642372828561607,1.3,0.0,True,False,False
Qwen-SFT-CK,df61dc5_2,9,0.5699999999999998,0.38722222222222213,0.7644500968783272,1.3,-0.6,True,False,False
Qwen-SFT-CK,fac291d_1,9,0.0,0.9905555555555556,0.42786579181148515,1.3,0.0,True,False,False
Raw-Qwen,024c982_2,9,0.09999999999999998,0.7255555555555555,0.4740865160404354,1.17,-0.13000000000000006,True,False,False
Raw-Qwen,024c982_3,9,1.3,1.0061111111111112,0.40218692294461084,1.3,0.0,False,False,False
Raw-Qwen,09b0ee6_1,9,-0.24000000000000005,0.2505555555555555,0.6536667705441208,1.3,-0.44000000000000006,True,False,False
Raw-Qwen,09b0ee6_2,9,1.3,1.0811111111111111,0.5615147063364402,1.3,-0.5,False,False,False
Raw-Qwen,0d8a4ee_2,9,1.0699999999999998,0.5605555555555556,0.5353215256296623,1.14,-0.6,True,False,False
Raw-Qwen,1150ed6_2,9,1.24,1.1266666666666667,0.10195314828118086,1.3,1.0,True,False,True
Raw-Qwen,13547f5_3,9,1.1649999999999998,1.0627777777777778,0.38418825760810366,1.3,0.0,True,False,False
Raw-Qwen,166f4ff_1,9,-0.16000000000000003,0.43499999999999994,0.6413613992472922,1.3,-0.3400000000000001,True,False,False
Raw-Qwen,166f4ff_2,9,1.13,0.6938888888888888,0.6958279551799256,1.3,-0.5,True,False,False
Raw-Qwen,166f4ff_3,9,0.7999999999999999,0.8183333333333334,0.5521775076911409,1.3,-0.2700000000000001,True,False,False
Raw-Qwen,21abae1_1,9,-0.29,0.5933333333333333,0.6608622313984125,1.3,-0.29,True,False,False
Raw-Qwen,21abae1_2,9,1.0,0.565,0.6165225056719341,1.3,-0.51,True,False,False
Raw-Qwen,21abae1_3,9,0.0,0.5333333333333333,0.61640535003807,1.3,-0.39,True,False,False
Raw-Qwen,37a8675_1,9,0.03999999999999998,0.8066666666666666,0.3490622357752905,1.29,0.03999999999999998,True,False,False
Raw-Qwen,37a8675_2,9,0.2,0.20111111111111113,0.36139988453679656,0.9500000000000001,-0.49999999999999994,True,False,False
Raw-Qwen,37a8675_3,9,1.3,0.9294444444444445,0.4888844696769964,1.3,-0.37500000000000006,False,False,False
Raw-Qwen,383cbac_1,9,1.3,1.2488888888888892,0.10115383712658707,1.3,1.0,False,False,True
Raw-Qwen,383cbac_2,9,1.14,0.9711111111111111,0.5225034703647525,1.3,0.0,True,False,False
Raw-Qwen,396c5a2_1,9,1.19,1.135,0.11883695646650594,1.3,0.96,True,False,True
Raw-Qwen,396c5a2_2,9,1.3,1.1494444444444443,0.20072707347214372,1.3,0.6099999999999999,False,False,False
Raw-Qwen,3ab5b8b_1,9,1.0799999999999998,1.2077777777777778,0.11299240660600737,1.3,1.0,True,False,True
Raw-Qwen,4ec8de5_1,9,1.155,0.933888888888889,0.4659564701758797,1.175,-0.37500000000000006,True,False,False
Raw-Qwen,4ec8de5_3,9,1.03,0.9316666666666666,0.5362109866668364,1.3,-0.5,True,False,False
Raw-Qwen,4fab96f_1,9,1.3,0.9633333333333334,0.49964987741417494,1.3,0.0,False,False,False
Raw-Qwen,4fab96f_2,9,1.15,0.6305555555555555,0.47120675129834017,1.3,-0.18000000000000005,True,False,False
Raw-Qwen,50e1ac9_1,9,-0.38,0.015555555555555533,0.5920043376551131,1.17,-0.6,True,False,False
Raw-Qwen,530b157_3,9,0.7949999999999999,1.105,0.23688956639469513,1.3,0.61,True,False,False
Raw-Qwen,57c3486_1,9,0.8099999999999999,0.8005555555555555,0.47104166154766,1.3,-0.11000000000000003,True,False,False
