variant,n_cases,mean_within_case_std,oracle_win_rate_over_greedy,all_low_rate,all_high_rate,mean_best_of_n_gain,mean_greedy_score
Qwen-SFT-C1,42,0.464683546480959,0.8095238095238095,0.0,0.11904761904761904,0.5651190476190477,0.6591666666666667
Qwen-SFT-CK,42,0.4665453118144394,0.8095238095238095,0.0,0.14285714285714285,0.6001190476190477,0.6345238095238095
Raw-Qwen,42,0.4224458703357574,0.8333333333333334,0.0,0.19047619047619047,0.4595238095238096,0.8189285714285715
