context_id,budget,agent_a,agent_b,token_jaccard,sentence_jaccard,tfidf_cosine,sbert_cosine,memory_a_tokens,memory_b_tokens
longmemeval::f0853d11,128,A_cot,A_plan,0.4567901234567901,0.125,0.6807542010075204,0.4261351525783539,128,128
longmemeval::f0853d11,128,A_cot,A_react,0.5125,0.0,0.7760548955962425,0.6586282849311829,128,128
longmemeval::f0853d11,128,A_plan,A_react,0.4050632911392405,0.0,0.657712524130572,0.5830863118171692,128,128
longmemeval::f0853d11,256,A_cot,A_plan,0.23376623376623376,0.0,0.6185269129818236,0.45976999402046204,256,31
longmemeval::f0853d11,256,A_cot,A_react,0.2,0.0,0.4326747381822999,0.257376492023468,256,120
longmemeval::f0853d11,256,A_plan,A_react,0.19117647058823528,0.0,0.4696062821118659,0.6556592583656311,31,120
longmemeval::f0853d11,512,A_cot,A_plan,0.76,0.0,0.77631529912657,0.9046621918678284,39,50
longmemeval::f0853d11,512,A_cot,A_react,0.6956521739130435,0.0,0.6155975474512446,0.9105571508407593,39,33
longmemeval::f0853d11,512,A_plan,A_react,0.5925925925925926,0.0,0.5261600905435175,0.8969583511352539,50,33
longmemeval::f0853d11,1024,A_cot,A_plan,0.7032967032967034,0.4,0.810427205636593,0.8882728815078735,125,197
longmemeval::f0853d11,1024,A_cot,A_react,0.5714285714285714,0.2727272727272727,0.6855774666397307,0.8758747577667236,125,202
longmemeval::f0853d11,1024,A_plan,A_react,0.646551724137931,0.3333333333333333,0.8203677510498117,0.8976333141326904,197,202
longmemeval::gpt4_6ed717ea,128,A_cot,A_plan,0.4523809523809524,0.07692307692307693,0.6243156633635966,0.7729365825653076,128,128
longmemeval::gpt4_6ed717ea,128,A_cot,A_react,0.569620253164557,0.06666666666666667,0.7475096677264637,0.8686962127685547,128,128
longmemeval::gpt4_6ed717ea,128,A_plan,A_react,0.5,0.14285714285714285,0.7467695047078194,0.7747911214828491,128,128
longmemeval::gpt4_6ed717ea,256,A_cot,A_plan,0.6097560975609756,0.0,0.6641495133427898,0.873215913772583,52,48
longmemeval::gpt4_6ed717ea,256,A_cot,A_react,0.6585365853658537,0.0,0.7325557030049389,0.893889844417572,52,51
longmemeval::gpt4_6ed717ea,256,A_plan,A_react,0.6756756756756757,0.0,0.6542569301396249,0.9091649651527405,48,51
longmemeval::gpt4_6ed717ea,512,A_cot,A_plan,0.43037974683544306,0.0,0.5242960619023338,0.8251143097877502,100,132
longmemeval::gpt4_6ed717ea,512,A_cot,A_react,0.5576923076923077,0.0,0.5787581322810206,0.9030306339263916,100,49
longmemeval::gpt4_6ed717ea,512,A_plan,A_react,0.37142857142857144,0.0,0.5199243084232928,0.8386417627334595,132,49
longmemeval::gpt4_6ed717ea,1024,A_cot,A_plan,0.42857142857142855,0.0,0.6423003628696901,0.7882407903671265,158,85
longmemeval::gpt4_6ed717ea,1024,A_cot,A_react,0.25609756097560976,0.0,0.4319487180210846,0.7869962453842163,158,51
longmemeval::gpt4_6ed717ea,1024,A_plan,A_react,0.42,0.0,0.3913790497925733,0.6579210162162781,85,51
longmemeval::a3838d2b,128,A_cot,A_plan,0.36363636363636365,0.0,0.6110943863850014,0.6249107718467712,128,128
longmemeval::a3838d2b,128,A_cot,A_react,0.4444444444444444,0.23529411764705882,0.6480257723701324,0.6298484206199646,128,128
longmemeval::a3838d2b,128,A_plan,A_react,0.45977011494252873,0.058823529411764705,0.792406555834995,0.7785549163818359,128,128
longmemeval::a3838d2b,256,A_cot,A_plan,0.17699115044247787,0.0,0.49229390356899094,0.3646622896194458,86,256
longmemeval::a3838d2b,256,A_cot,A_react,0.5,0.0,0.7849681646157396,0.900214672088623,86,43
longmemeval::a3838d2b,256,A_plan,A_react,0.14432989690721648,0.0,0.5109492362803436,0.37403807044029236,256,43
longmemeval::a3838d2b,512,A_cot,A_plan,0.5689655172413793,0.0,0.7809859052530552,0.8794410228729248,76,124
longmemeval::a3838d2b,512,A_cot,A_react,0.7547169811320755,0.0,0.8516798647937253,0.9217756390571594,76,95
longmemeval::a3838d2b,512,A_plan,A_react,0.7192982456140351,0.0,0.8751094380087766,0.9596895575523376,124,95
longmemeval::a3838d2b,1024,A_cot,A_plan,0.35714285714285715,0.0,0.659825308368668,0.7802151441574097,88,304
longmemeval::a3838d2b,1024,A_cot,A_react,0.5232558139534884,0.0,0.793680625414372,0.8064483404159546,88,218
longmemeval::a3838d2b,1024,A_plan,A_react,0.6377952755905512,0.05,0.8538848184363244,0.9202196598052979,304,218
longmemeval::gpt4_93159ced,128,A_cot,A_plan,0.2222222222222222,0.0,0.2736232502871203,0.5104064345359802,128,128
longmemeval::gpt4_93159ced,128,A_cot,A_react,0.2523364485981308,0.0,0.19575919225188887,0.5084419250488281,128,128
longmemeval::gpt4_93159ced,128,A_plan,A_react,0.38144329896907214,0.09090909090909091,0.40544210738414055,0.6238360404968262,128,128
longmemeval::gpt4_93159ced,256,A_cot,A_plan,0.3333333333333333,0.0,0.3251278499074592,0.38222935795783997,42,30
longmemeval::gpt4_93159ced,256,A_cot,A_react,0.17391304347826086,0.0,0.13711764921962538,0.38831469416618347,42,43
longmemeval::gpt4_93159ced,256,A_plan,A_react,0.3333333333333333,0.0,0.3987533547420131,0.7968524694442749,30,43
longmemeval::gpt4_93159ced,512,A_cot,A_plan,0.3582089552238806,0.0,0.3777971184773383,0.46683114767074585,105,51
longmemeval::gpt4_93159ced,512,A_cot,A_react,0.6851851851851852,0.16666666666666666,0.7422735311692065,0.6488579511642456,105,55
longmemeval::gpt4_93159ced,512,A_plan,A_react,0.45098039215686275,0.0,0.41890494772535675,0.8298736810684204,51,55
longmemeval::gpt4_93159ced,1024,A_cot,A_plan,0.4418604651162791,0.1,0.5656833448067103,0.5536148548126221,86,131
longmemeval::gpt4_93159ced,1024,A_cot,A_react,0.0,0.0,0.0,0.036130115389823914,86,5
longmemeval::gpt4_93159ced,1024,A_plan,A_react,0.0,0.0,0.0,0.04118369519710541,131,5
longmemeval::6613b389,128,A_cot,A_plan,0.0,0.0,0.0,-0.05533384159207344,5,28
longmemeval::6613b389,128,A_cot,A_react,0.0,0.0,0.0,-0.05976533144712448,5,29
longmemeval::6613b389,128,A_plan,A_react,1.0,0.5,0.9847982464479194,0.9987767934799194,28,29
longmemeval::6613b389,256,A_cot,A_plan,0.12,0.0,0.27189103790130525,0.2975321412086487,256,22
longmemeval::6613b389,256,A_cot,A_react,0.10204081632653061,0.0,0.2777043040932367,0.31865382194519043,256,18
longmemeval::6613b389,256,A_plan,A_react,0.625,0.0,0.7023584362996974,0.9700592160224915,22,18
longmemeval::6613b389,512,A_cot,A_plan,0.0,0.0,0.0,-0.0339168980717659,5,18
longmemeval::6613b389,512,A_cot,A_react,0.0,0.0,0.0,5.3044408559799194e-05,5,18
longmemeval::6613b389,512,A_plan,A_react,0.7692307692307693,0.3333333333333333,0.8214112916883225,0.9331481456756592,18,18
longmemeval::6613b389,1024,A_cot,A_plan,0.03313253012048193,0.0,0.12588089740854352,0.47020837664604187,18,1024
longmemeval::6613b389,1024,A_cot,A_react,0.6111111111111112,0.0,0.7823299131486804,0.9468389749526978,18,29
longmemeval::6613b389,1024,A_plan,A_react,0.04477611940298507,0.0,0.23046714681608882,0.4438767731189728,1024,29
longmemeval::gpt4_1a1dc16d,128,A_cot,A_plan,0.8823529411764706,0.0,0.8344777154850029,0.8907480835914612,42,24
longmemeval::gpt4_1a1dc16d,128,A_cot,A_react,0.5333333333333333,0.0,0.5625645189548897,0.8518936634063721,42,45
