model,prompt_family,budget_chars,n,r2_need,r2_type,r2_both,sdi,coef_need_in_both
minimax,general_task_agnostic,1500,290,8.971778875377368e-11,0.29181739339141133,0.29181723695909234,0.999999965117106,0.00017432390646085423
minimax,general_task_aware,1500,290,0.025970666324492853,0.2787543313797387,0.31911223869425787,0.8295468329287882,1.2631639897645388
qwen,general_task_agnostic,1500,290,0.00015219302669078338,0.14029520114204697,0.14047715205771594,0.9978326687119411,-0.07009620060729342
qwen,general_task_aware,1500,290,0.01248716528621463,0.08245011145271264,0.09632991911044941,0.7369385472210994,0.588561263376158
