model,prompt_family,init_type,condition_type,round,fact_type,coarse_group,n_facts,survival_rate,survival_score_mean,ci_low,ci_high
minimax,general_task_agnostic,RAW_FULL,task_agnostic,3,NARRATIVE_GOAL,NARRATIVE,2,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,3,NARRATIVE_PROGRESS,NARRATIVE,4,0.75,0.75,0.25,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,3,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,0.08333333333333333,0.08333333333333333,0.0,0.20833333333333334
minimax,general_task_agnostic,RAW_FULL,task_agnostic,3,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,3,RUNTIME_VARIABLE,EXECUTABLE,26,0.6153846153846154,0.6307692307692307,0.4230769230769231,0.8076923076923077
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,ACTION_OUTCOME,EXECUTABLE,9,0.6666666666666666,0.7111111111111111,0.3333333333333333,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,0.25925925925925924,0.25925925925925924,0.1111111111111111,0.4444444444444444
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,0.3333333333333333,0.3333333333333333,0.18250000000000005,0.5
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,EXACT_IDENTIFIER,EXECUTABLE,16,0.75,0.75,0.5625,0.9375
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,NARRATIVE_GOAL,NARRATIVE,2,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,NARRATIVE_PROGRESS,NARRATIVE,4,0.5,0.6,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,0.08333333333333333,0.08333333333333333,0.0,0.20833333333333334
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,4,RUNTIME_VARIABLE,EXECUTABLE,26,0.5769230769230769,0.6076923076923078,0.38461538461538464,0.7509615384615376
minimax,general_task_agnostic,RAW_FULL,task_agnostic,5,ACTION_OUTCOME,EXECUTABLE,9,0.6666666666666666,0.7111111111111111,0.3333333333333333,0.8888888888888888
