model,prompt_family,init_type,condition_type,fact_type,ausc,n_rounds
minimax,general_task_aware,RAW_FULL,unneeded,RUNTIME_VARIABLE,4.0769230769230775,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,4.666666666666666,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,3.0,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,3.0333333333333328,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,4.333333333333333,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,7.0,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,5.25,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,4.0,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,0.75,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,1.9166666666666667,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,4.166666666666666,6
qwen,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,2.6153846153846154,6
qwen,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,4.25,6
qwen,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,6.571428571428572,6
qwen,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,6.750000000000001,6
qwen,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,5.333333333333333,6
qwen,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,7.0,6
qwen,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,6.750000000000001,6
qwen,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,4.0,6
qwen,general_task_aware,DETAIL_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,5.0625,6
qwen,general_task_aware,DETAIL_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,5.666666666666667,6
qwen,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,5.375,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,5.25,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,6.571428571428572,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,5.9,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,5.333333333333333,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,7.0,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,7.0,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,4.0,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,6.1875,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,6.166666666666666,6
qwen,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,6.4375,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,5.25,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,API_SCHEMA_OR_PARAMETER,3.0,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,2.6500000000000004,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,COMPLETED_SUBTASK,3.6666666666666665,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,ENVIRONMENT_STATE,7.0,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,EXACT_IDENTIFIER,5.333333333333333,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NARRATIVE_PROGRESS,0.5,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,1.8125,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,5.0,6
qwen,general_task_aware,NARRATIVE_HEAVY,needed,RUNTIME_VARIABLE,3.6875,6
qwen,general_task_aware,RAW_FULL,needed,ACTION_OUTCOME,4.538461538461538,6
qwen,general_task_aware,RAW_FULL,needed,API_SCHEMA_OR_PARAMETER,3.975609756097561,6
qwen,general_task_aware,RAW_FULL,needed,AUTH_OR_ACCESS_TOKEN,3.96,6
qwen,general_task_aware,RAW_FULL,needed,COMPLETED_SUBTASK,4.666666666666666,6
qwen,general_task_aware,RAW_FULL,needed,ENVIRONMENT_STATE,1.0,6
qwen,general_task_aware,RAW_FULL,needed,EXACT_IDENTIFIER,4.857142857142857,6
qwen,general_task_aware,RAW_FULL,needed,NARRATIVE_GOAL,4.0,6
qwen,general_task_aware,RAW_FULL,needed,NARRATIVE_PROGRESS,1.3333333333333335,6
qwen,general_task_aware,RAW_FULL,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,2.025,6
qwen,general_task_aware,RAW_FULL,needed,NUMERIC_OR_DATE_LITERAL,4.666666666666667,6
qwen,general_task_aware,RAW_FULL,needed,RUNTIME_VARIABLE,4.476190476190476,6
qwen,general_task_aware,RAW_FULL,unneeded,ACTION_OUTCOME,5.0,6
qwen,general_task_aware,RAW_FULL,unneeded,API_SCHEMA_OR_PARAMETER,2.222222222222222,6
qwen,general_task_aware,RAW_FULL,unneeded,AUTH_OR_ACCESS_TOKEN,2.8,6
qwen,general_task_aware,RAW_FULL,unneeded,COMPLETED_SUBTASK,3.0,6
qwen,general_task_aware,RAW_FULL,unneeded,ENVIRONMENT_STATE,1.0,6
qwen,general_task_aware,RAW_FULL,unneeded,EXACT_IDENTIFIER,3.8125,6
qwen,general_task_aware,RAW_FULL,unneeded,NARRATIVE_GOAL,4.0,6
qwen,general_task_aware,RAW_FULL,unneeded,NARRATIVE_PROGRESS,0.75,6
qwen,general_task_aware,RAW_FULL,unneeded,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,1.2500000000000004,6
qwen,general_task_aware,RAW_FULL,unneeded,NUMERIC_OR_DATE_LITERAL,4.166666666666667,6
qwen,general_task_aware,RAW_FULL,unneeded,RUNTIME_VARIABLE,3.5384615384615383,6
