model,prompt_family,init_type,condition_type,fact_type,coarse_group,n_facts,survival_rate_fixed,survival_score_fixed
minimax,general_task_aware,RAW_FULL,needed,RUNTIME_VARIABLE,EXECUTABLE,10,0.7,0.7
minimax,general_task_aware,RAW_FULL,unneeded,ACTION_OUTCOME,EXECUTABLE,9,0.1111111111111111,0.15555555555555556
minimax,general_task_aware,RAW_FULL,unneeded,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,0.4444444444444444,0.4444444444444444
minimax,general_task_aware,RAW_FULL,unneeded,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,0.26666666666666666,0.28
minimax,general_task_aware,RAW_FULL,unneeded,COMPLETED_SUBTASK,TASK_STATE,3,0.6666666666666666,0.6666666666666666
minimax,general_task_aware,RAW_FULL,unneeded,ENVIRONMENT_STATE,TASK_STATE,1,0.0,0.0
minimax,general_task_aware,RAW_FULL,unneeded,EXACT_IDENTIFIER,EXECUTABLE,16,0.6875,0.6875
minimax,general_task_aware,RAW_FULL,unneeded,NARRATIVE_GOAL,NARRATIVE,2,0.5,0.5
minimax,general_task_aware,RAW_FULL,unneeded,NARRATIVE_PROGRESS,NARRATIVE,4,0.25,0.35
minimax,general_task_aware,RAW_FULL,unneeded,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,0.08333333333333333,0.08333333333333333
minimax,general_task_aware,RAW_FULL,unneeded,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.6666666666666666,0.6666666666666666
minimax,general_task_aware,RAW_FULL,unneeded,RUNTIME_VARIABLE,EXECUTABLE,26,0.46153846153846156,0.49230769230769234
qwen,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,EXECUTABLE,9,0.6666666666666666,0.6666666666666666
qwen,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,0.2962962962962963,0.2962962962962963
qwen,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,0.3,0.3
qwen,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,TASK_STATE,3,0.6666666666666666,0.6666666666666666
qwen,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0
qwen,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,EXECUTABLE,16,0.6875,0.6875
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,NARRATIVE,2,0.5,0.5
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,NARRATIVE,4,0.0,0.0
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,0.125,0.125
qwen,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.5,0.5
qwen,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,EXECUTABLE,26,0.2692307692307692,0.2692307692307692
qwen,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,4,0.5,0.5
qwen,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,0.9285714285714286,0.9285714285714286
qwen,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.95,0.95
qwen,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,3,0.6666666666666666,0.6666666666666666
qwen,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0
qwen,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,12,0.9166666666666666,0.9166666666666666
qwen,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,2,0.5,0.5
qwen,general_task_aware,DETAIL_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,0.6875,0.6875
qwen,general_task_aware,DETAIL_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.8333333333333334,0.8333333333333334
qwen,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,16,0.6875,0.6875
qwen,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,EXECUTABLE,4,0.75,0.75
qwen,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,0.9285714285714286,0.9285714285714286
qwen,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.75,0.75
qwen,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,TASK_STATE,3,0.6666666666666666,0.6666666666666666
qwen,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0
qwen,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,EXECUTABLE,12,1.0,1.0
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,NARRATIVE,2,0.5,0.5
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,0.8125,0.8125
qwen,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.6666666666666666,0.6666666666666666
qwen,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,EXECUTABLE,16,0.875,0.875
qwen,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,4,0.75,0.75
qwen,general_task_aware,NARRATIVE_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,0.35714285714285715,0.35714285714285715
qwen,general_task_aware,NARRATIVE_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.35,0.35
qwen,general_task_aware,NARRATIVE_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,3,0.3333333333333333,0.3333333333333333
qwen,general_task_aware,NARRATIVE_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0
qwen,general_task_aware,NARRATIVE_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,12,0.75,0.75
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,2,0.0,0.0
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,0.1875,0.1875
qwen,general_task_aware,NARRATIVE_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.6666666666666666,0.6666666666666666
qwen,general_task_aware,NARRATIVE_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,16,0.5,0.5
qwen,general_task_aware,RAW_FULL,needed,ACTION_OUTCOME,EXECUTABLE,5,0.6,0.6
qwen,general_task_aware,RAW_FULL,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,13,0.3076923076923077,0.3076923076923077
qwen,general_task_aware,RAW_FULL,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,10,0.4,0.4
qwen,general_task_aware,RAW_FULL,needed,EXACT_IDENTIFIER,EXECUTABLE,4,0.75,0.75
qwen,general_task_aware,RAW_FULL,needed,NARRATIVE_GOAL,NARRATIVE,2,0.5,0.5
qwen,general_task_aware,RAW_FULL,needed,NARRATIVE_PROGRESS,NARRATIVE,2,0.0,0.0
qwen,general_task_aware,RAW_FULL,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,8,0.25,0.25
qwen,general_task_aware,RAW_FULL,needed,RUNTIME_VARIABLE,EXECUTABLE,10,0.6,0.6
qwen,general_task_aware,RAW_FULL,unneeded,ACTION_OUTCOME,EXECUTABLE,9,0.6666666666666666,0.6666666666666666
qwen,general_task_aware,RAW_FULL,unneeded,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,0.18518518518518517,0.18518518518518517
qwen,general_task_aware,RAW_FULL,unneeded,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,0.26666666666666666,0.26666666666666666
qwen,general_task_aware,RAW_FULL,unneeded,COMPLETED_SUBTASK,TASK_STATE,3,0.3333333333333333,0.3333333333333333
qwen,general_task_aware,RAW_FULL,unneeded,ENVIRONMENT_STATE,TASK_STATE,1,0.0,0.0
qwen,general_task_aware,RAW_FULL,unneeded,EXACT_IDENTIFIER,EXECUTABLE,16,0.375,0.375
qwen,general_task_aware,RAW_FULL,unneeded,NARRATIVE_GOAL,NARRATIVE,2,0.5,0.5
qwen,general_task_aware,RAW_FULL,unneeded,NARRATIVE_PROGRESS,NARRATIVE,4,0.0,0.0
qwen,general_task_aware,RAW_FULL,unneeded,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,0.041666666666666664,0.041666666666666664
qwen,general_task_aware,RAW_FULL,unneeded,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.5,0.5
qwen,general_task_aware,RAW_FULL,unneeded,RUNTIME_VARIABLE,EXECUTABLE,26,0.4230769230769231,0.4230769230769231
