case_id,model,prompt_family,condition_type,init_a,init_b,init_fact_jaccard_distance,init_type_l1_distance,init_text_distance,fin_fact_jaccard_distance,fin_type_l1_distance,fin_text_distance,contraction_fact_jaccard,contraction_type_l1,contraction_text
37a8675_2,minimax,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.125,0.10714285714285712,0.6377358490566039,0.4285714285714286,0.17857142857142858,0.6122448979591837,3.428571428571429,1.666666666666667,0.9600289820070039
37a8675_2,minimax,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.06818181818181823,1.0,0.5,1.0,100000000.0,50000000.0,14.666666666666655
37a8675_2,minimax,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.125,0.10714285714285712,0.929889298892989,0.125,0.10714285714285712,0.8317757009345794,1.0,1.0,0.8944889482272659
37a8675_2,minimax,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.9585921325051759,1.0,0.5,1.0,100000000.0,50000000.0,1.043196544276458
37a8675_2,minimax,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.125,0.10714285714285712,0.6274900398406374,1.0,0.5,1.0,8.0,4.666666666666668,1.5936507936507938
37a8675_2,qwen,general_task_aware,needed,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.0,0.8925619834710744,0.1428571428571429,0.09523809523809525,0.6712328767123288,14285714.285714291,9523809.523809524,0.7520294266869609
37a8675_2,qwen,general_task_aware,needed,DETAIL_HEAVY,NARRATIVE_HEAVY,0.625,0.08333333333333334,0.6317829457364341,0.6666666666666667,0.33333333333333337,0.7142857142857143,1.0666666666666669,4.0,1.1305872042068361
37a8675_2,qwen,general_task_aware,needed,DETAIL_HEAVY,RAW_FULL,0.0,0.0,0.06818181818181823,1.0,0.49999999999999994,1.0,100000000.0,49999999.99999999,14.666666666666655
37a8675_2,qwen,general_task_aware,needed,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.625,0.08333333333333334,0.9296875,0.7142857142857143,0.4285714285714286,0.7605633802816901,1.1428571428571428,5.142857142857142,0.8180849804710616
37a8675_2,qwen,general_task_aware,needed,FACT_TABLE_ONLY,RAW_FULL,0.0,0.0,0.9585921325051759,1.0,0.5,1.0,100000000.0,50000000.0,1.043196544276458
37a8675_2,qwen,general_task_aware,needed,NARRATIVE_HEAVY,RAW_FULL,0.625,0.08333333333333334,0.6180698151950719,1.0,0.5,1.0,1.6,5.999999999999999,1.6179401993355482
