chunk_type,n_chunks,mean_score_advantage,mean_pass_advantage,frac_positive_advantage,frac_top_advantage,contains_causal_relation_rate,contains_exact_literals_rate
ACTION_OUTCOME,168,-0.08928571428571429,-0.08928571428571429,0.08333333333333333,0.041666666666666664,0.06547619047619048,0.8630952380952381
CAUSAL_PRECONDITION,8,0.0,0.0,0.0,0.0,1.0,1.0
CONTROL_NEGATIVE_EVIDENCE,19,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.47368421052631576,0.7368421052631579
ENTITY_LIST_ONLY,36,0.1111111111111111,0.1111111111111111,0.19444444444444445,0.08333333333333333,0.0,1.0
NARRATIVE_PROGRESS,54,0.05555555555555555,0.05555555555555555,0.12962962962962962,0.07407407407407407,0.18518518518518517,0.5740740740740741
OTHER,6,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.8333333333333334
RUNTIME_BINDING,83,0.024096385542168676,0.024096385542168676,0.10843373493975904,0.012048192771084338,0.04819277108433735,1.0
TASK_GOAL_OR_TODO,9,-0.2222222222222222,-0.2222222222222222,0.0,0.0,0.2222222222222222,0.7777777777777778
