candidate_id,case_id,model,generation_type,converged_binary,convergence_round,text_similarity_last,length_change_last,token_jaccard_last
d4e9306_2__minimax__sample_00,d4e9306_2,minimax,sample,True,2,0.9880901743938749,0.006828851899274435,0.9842105263157894
d4e9306_2__minimax__sample_02,d4e9306_2,minimax,sample,False,-1,0.6630532971996387,0.026235509456985967,0.9071428571428571
d4e9306_2__minimax__sample_03,d4e9306_2,minimax,sample,False,-1,0.7827985156079459,0.09283930058284763,0.694300518134715
d4e9306_2__minimax__sample_04,d4e9306_2,minimax,sample,True,2,1.0,0.0,1.0
d4e9306_2__minimax__sample_05,d4e9306_2,minimax,sample,True,1,0.9584402257567983,0.006176016469377252,0.935064935064935
d4e9306_2__minimax__sample_06,d4e9306_2,minimax,sample,True,2,1.0,0.0,1.0
df61dc5_2__minimax__sample_00,df61dc5_2,minimax,sample,False,-1,0.7788256769090356,0.21066956995100708,0.6025641025641025
d4e9306_2__minimax__sample_07,d4e9306_2,minimax,sample,True,2,0.9900821762538963,0.003975014196479273,0.9933333333333333
df61dc5_2__minimax__greedy,df61dc5_2,minimax,greedy,False,-1,0.9160873882820258,0.029219143576826197,0.8614457831325302
df61dc5_2__minimax__sample_03,df61dc5_2,minimax,sample,True,2,1.0,0.0,1.0
df61dc5_2__minimax__sample_02,df61dc5_2,minimax,sample,True,2,0.9963724304715841,0.007228915662650603,0.9838709677419355
df61dc5_2__minimax__sample_05,df61dc5_2,minimax,sample,False,-1,0.6496490108487556,0.178965717606043,0.5423728813559322
df61dc5_2__minimax__sample_01,df61dc5_2,minimax,sample,True,2,0.9946409431939979,0.002145922746781116,0.9791666666666666
df61dc5_2__minimax__sample_04,df61dc5_2,minimax,sample,True,2,0.9888641425389755,0.014456630109670987,0.9503105590062112
df61dc5_2__minimax__sample_07,df61dc5_2,minimax,sample,True,2,1.0,0.0,1.0
fac291d_1__minimax__sample_00,fac291d_1,minimax,sample,True,1,0.9902479799387016,0.018221976808393152,0.9895833333333334
fac291d_1__minimax__greedy,fac291d_1,minimax,greedy,True,2,0.9990503323836657,0.0019011406844106464,1.0
df61dc5_2__minimax__sample_06,df61dc5_2,minimax,sample,True,1,0.9918296608071305,0.004466501240694789,0.950920245398773
fac291d_1__minimax__sample_01,fac291d_1,minimax,sample,True,2,1.0,0.0,1.0
fac291d_1__minimax__sample_02,fac291d_1,minimax,sample,True,2,0.9517487873372479,0.0005104645227156713,0.9230769230769231
fac291d_1__minimax__sample_03,fac291d_1,minimax,sample,True,2,1.0,0.0,1.0
fac291d_1__minimax__sample_06,fac291d_1,minimax,sample,True,1,0.9997456118036123,0.0005089058524173028,1.0
fac291d_1__minimax__sample_04,fac291d_1,minimax,sample,False,-1,0.6150594451783356,0.11033449825262107,0.6559139784946236
fac291d_1__minimax__sample_05,fac291d_1,minimax,sample,False,-1,0.8475064860190257,0.2323037323037323,0.9508196721311475
fac291d_1__minimax__sample_07,fac291d_1,minimax,sample,False,-1,0.8066268332428028,0.014023732470334413,0.8932038834951457
