compressor_model,eval_context_round,n_cases,greedy_pass_rate,best_of_n_pass_rate,pass_gain_pp,greedy_mean_score,best_of_n_mean_score,score_gain,greedy_mean_length,best_of_n_mean_length,oracle_win_rate
minimax,C1,30,0.7,0.9666666666666667,26.66666666666667,0.7,0.9666666666666667,0.26666666666666666,486.8,451.56666666666666,0.9
minimax,CK,30,0.6,0.9666666666666667,36.66666666666667,0.6,0.9666666666666667,0.36666666666666664,464.56666666666666,419.56666666666666,0.8333333333333334
