method,budget_max_steps,n,success_rate,mean_score,mean_iters,mean_input_tokens
jacobian_high_spans,15,60,0.7,0.7,8.633333333333333,61038.6
jacobian_high_spans_raw,15,60,0.8333333333333334,0.8333333333333334,7.316666666666666,52724.75
jacobian_low_spans,15,60,0.8,0.8,8.066666666666666,60500.38333333333
jacobian_recent_hybrid,15,60,0.6666666666666666,0.6666666666666666,8.266666666666667,57960.566666666666
v4_high_sensitivity_spans,8,30,0.2,0.2,7.0,24763.033333333333
v4_high_sensitivity_spans,15,30,0.4,0.4,10.966666666666667,49941.4
v4_recent_spans,8,30,0.3,0.3,6.4,20816.066666666666
v4_recent_spans,15,30,0.4666666666666667,0.4666666666666667,9.566666666666666,47624.03333333333
