task_id,full_loss,no_loss,recent_loss,acon_loss,soft_loss_k4,soft_steps_k4,soft_loss_k8,soft_steps_k8,soft_loss_k16,soft_steps_k16,soft_loss_k32,soft_steps_k32,soft_loss_k64,soft_steps_k64,soft_gap_recovery_k4,soft_gap_recovery_k8,soft_gap_recovery_k16,soft_gap_recovery_k32,soft_gap_recovery_k64,recent_gap_recovery,acon_gap_recovery
0d8a4ee_2,0.6556110978126526,1.5819495916366577,0.9737504720687866,,0.5298728346824646,200,0.4080215394496918,200,0.2670010030269623,200,0.0025964619126170874,200,0.00029538077069446445,200,1.1357368434632675,1.267277631247828,1.4195119790191104,1.7049417035497842,1.7074257643518174,0.6565625023928053,
37a8675_1,0.8750104308128357,1.6072962284088135,1.127121090888977,,0.32835251092910767,200,0.2687985897064209,200,0.22532150149345398,200,0.2173479199409485,200,0.12955090403556824,200,1.7465089746084823,1.827835038036445,1.8872067865473379,1.898095406234736,2.0179898739324695,0.6557209481546743,
37a8675_2,1.0615723133087158,1.73700749874115,1.2536041736602783,,0.3418126404285431,200,0.30377712845802307,200,0.2360674887895584,200,0.23429150879383087,184,0.00040593446465209126,200,2.0656235985387124,2.12193619934906,2.2221821461531417,2.224811532412595,2.571085430150745,0.7156916540724513,
37a8675_3,0.82607501745224,1.8763635158538818,1.3879507780075073,,0.1983577460050583,200,0.10864412784576416,200,0.00046189906424842775,200,0.00046901506721042097,200,0.00019800887093879282,168,1.5976617590333124,1.683079830635375,1.7860822237360805,1.786075448451982,1.7863334786948002,0.4650272173689939,
383cbac_1,1.562398076057434,2.2803282737731934,1.695258617401123,,0.019723158329725266,200,0.00037536685704253614,200,0.0003660630318336189,200,0.0002832586469594389,179,0.00017012683383654803,158,3.148781208306939,3.1757306130460647,3.17574357227976,3.1758589099339463,3.1760164904528922,0.8149394721570262,
383cbac_2,1.3697950839996338,2.2736597061157227,1.4937020540237427,,0.1368209570646286,200,0.00946140382438898,161,0.0005794282187707722,200,0.00038671758375130594,192,0.00021480392024386674,166,2.3641137143396755,2.505019277102018,2.5148459429414487,2.515059150351391,2.5152493488161842,0.8629142384906898,
396c5a2_1,1.17314612865448,1.7752643823623657,1.3262866735458374,,0.11044298857450485,200,0.045929957181215286,200,0.00038214048254303634,200,0.0002272113924846053,197,0.0002956942480523139,198,2.7649409124134268,2.8720843696928133,2.947730335278785,2.9479876420272593,2.9478739054727767,0.7456636732928998,
396c5a2_2,1.3793702125549316,2.220659017562866,1.5603046417236328,,0.004905219655483961,200,0.0007797643775120378,200,0.0002511676284484565,174,0.00026913295732811093,118,0.00018272701709065586,127,2.633761182506743,2.638664915034044,2.639293232855364,2.63927187832316,2.639374584955797,0.784931847313724,
3ab5b8b_1,0.8412333130836487,1.8170106410980225,1.33982253074646,,0.16540466248989105,200,0.05361657589673996,200,0.0002773488813545555,191,0.1167127713561058,122,0.00028757171821780503,180,1.6926054041130605,1.8071685153718868,1.8618318340246438,1.742506021534526,1.8618213574163338,0.4890338160680581,
4ec8de5_1,1.3244856595993042,1.8562604188919067,1.5913307666778564,,0.017031263560056686,200,0.0005244038766250014,200,0.00024533786927349865,157,0.00031253579072654247,151,0.00016496281023137271,118,3.4586620052792627,3.489703079333605,3.4902278616826634,3.4901014962990518,3.490379006613177,0.4981989979488214,
