task_id,k,n,overlap,expected_random,enrichment
d4e9306_1,5,17,2,1.4705882352941178,1.3599999999999999
d4e9306_1,10,17,5,5.882352941176471,0.85
d4e9306_2,1,16,1,0.0625,16.0
d4e9306_2,3,16,1,0.5625,1.7777777777777777
d4e9306_2,5,16,2,1.5625,1.28
d4e9306_2,10,16,7,6.25,1.12
df61dc5_2,1,18,0,0.05555555555555555,0.0
df61dc5_2,3,18,1,0.5,2.0
df61dc5_2,5,18,4,1.3888888888888888,2.88
df61dc5_2,10,18,6,5.555555555555555,1.08
fac291d_1,1,16,0,0.0625,0.0
fac291d_1,3,16,1,0.5625,1.7777777777777777
fac291d_1,5,16,2,1.5625,1.28
fac291d_1,10,16,8,6.25,1.28
