fact_id,case_id,fact_type,passed,needed_condition_mentions_fact,unneeded_condition_mentions_fact,length_match_ok,delta_len_pct,needed_chars,unneeded_chars,elapsed_s,error,reason
396c5a2_1.fact0009,396c5a2_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.394,132,81,14.976909160614014,,
396c5a2_1.fact0008,396c5a2_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.545,135,63,16.292781591415405,,
396c5a2_2.fact0000,396c5a2_2,EXACT_IDENTIFIER,True,False,False,True,0.034,113,119,16.355271577835083,,
396c5a2_2.fact0004,396c5a2_2,RUNTIME_VARIABLE,False,False,False,False,0.489,188,97,15.728574991226196,,
396c5a2_2.fact0013,396c5a2_2,COMPLETED_SUBTASK,False,False,False,False,0.455,179,96,18.26822066307068,,
396c5a2_2.fact0007,396c5a2_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.208,96,77,17.728940725326538,,
396c5a2_2.fact0005,396c5a2_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.071,170,158,15.768120288848877,,
396c5a2_2.fact0006,396c5a2_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.139,147,125,16.189974546432495,,
396c5a2_2.fact0012,396c5a2_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.103,158,141,16.469743967056274,,
396c5a2_2.fact0009,396c5a2_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.185,88,109,18.44931149482727,,
3ab5b8b_1.fact0004,3ab5b8b_1,NUMERIC_OR_DATE_LITERAL,True,False,False,True,0.316,152,104,15.276049375534058,,
3ab5b8b_1.fact0000,3ab5b8b_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.065,185,172,15.140275478363037,,
3ab5b8b_1.fact0012,3ab5b8b_1,RUNTIME_VARIABLE,False,False,False,False,0.409,91,53,15.986521244049072,,
3ab5b8b_1.fact0009,3ab5b8b_1,RUNTIME_VARIABLE,True,False,False,True,0.206,109,137,22.220996618270874,,
3ab5b8b_1.fact0002,3ab5b8b_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.161,126,106,16.805299282073975,,
4ec8de5_1.fact0012,4ec8de5_1,EXACT_IDENTIFIER,True,False,False,True,0.068,166,178,16.73069429397583,,
3ab5b8b_1.fact0001,3ab5b8b_1,RUNTIME_VARIABLE,True,False,False,True,0.025,162,158,21.430614709854126,,
4ec8de5_1.fact0013,4ec8de5_1,NARRATIVE_PROGRESS,False,False,False,False,0.51,197,98,20.54654335975647,,
4ec8de5_1.fact0011,4ec8de5_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.163,174,146,20.229777097702026,,
4ec8de5_1.fact0008,4ec8de5_1,NUMERIC_OR_DATE_LITERAL,False,False,True,True,0.042,98,93,17.740779399871826,,
4ec8de5_1.fact0004,4ec8de5_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.026,159,152,18.633378982543945,,
4ec8de5_1.fact0001,4ec8de5_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.189,150,122,16.519185304641724,,
4ec8de5_3.fact0010,4ec8de5_3,RUNTIME_VARIABLE,False,False,False,False,0.423,107,62,16.282688856124878,,
4ec8de5_3.fact0002,4ec8de5_3,EXACT_IDENTIFIER,False,False,False,False,0.371,250,159,15.796932697296143,,
4ec8de5_3.fact0014,4ec8de5_3,NARRATIVE_PROGRESS,True,False,False,True,0.229,141,109,16.566943168640137,,
4ec8de5_1.fact0007,4ec8de5_1,RUNTIME_VARIABLE,False,False,False,False,0.659,165,56,18.809060096740723,,
4ec8de5_3.fact0007,4ec8de5_3,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.0,95,92,12.571717500686646,,
4ec8de5_3.fact0009,4ec8de5_3,ACTION_OUTCOME,True,False,False,True,0.0,78,79,16.221972465515137,,
4ec8de5_3.fact0008,4ec8de5_3,NUMERIC_OR_DATE_LITERAL,True,False,False,True,0.059,70,65,17.31969404220581,,
4ec8de5_3.fact0001,4ec8de5_3,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.111,65,72,15.536911964416504,,
4ec8de5_3.fact0015,4ec8de5_3,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.364,222,141,17.587064266204834,,
4fab96f_1.fact0003,4fab96f_1,RUNTIME_VARIABLE,True,False,False,True,0.031,128,124,17.58669900894165,,
4fab96f_1.fact0014,4fab96f_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.059,128,136,16.190680503845215,,
4fab96f_1.fact0012,4fab96f_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.086,128,141,16.4581618309021,,
