compressor_model,prompt_variant,budget_chars,round,fact_type,coarse_group,n_facts,survival_rate,survival_score_mean,ci_low,ci_high
minimax,UTCO,1500,5,ACTION_OUTCOME,EXECUTABLE,30,0.8,0.8133333333333332,0.6333333333333333,0.9333333333333333
minimax,UTCO,1500,5,API_SCHEMA_OR_PARAMETER,EXECUTABLE,74,0.6081081081081081,0.6351351351351351,0.5,0.7162162162162162
minimax,UTCO,1500,5,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,76,0.3684210526315789,0.37894736842105264,0.2631578947368421,0.47368421052631576
minimax,UTCO,1500,5,COMPLETED_SUBTASK,TASK_STATE,6,0.8333333333333334,0.9,0.5,1.0
minimax,UTCO,1500,5,ENVIRONMENT_STATE,TASK_STATE,4,1.0,1.0,1.0,1.0
minimax,UTCO,1500,5,EXACT_IDENTIFIER,EXECUTABLE,26,0.5769230769230769,0.5769230769230769,0.38461538461538464,0.7692307692307693
minimax,UTCO,1500,5,NARRATIVE_GOAL,NARRATIVE,8,0.875,0.84375,0.625,1.0
minimax,UTCO,1500,5,NARRATIVE_PROGRESS,NARRATIVE,12,0.6666666666666666,0.7333333333333334,0.4166666666666667,0.9166666666666666
minimax,UTCO,1500,5,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,58,0.3448275862068966,0.3655172413793104,0.22413793103448276,0.46551724137931033
minimax,UTCO,1500,5,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,12,0.8333333333333334,0.9,0.5833333333333334,1.0
minimax,UTCO,1500,5,RUNTIME_VARIABLE,EXECUTABLE,58,0.6724137931034483,0.7000000000000001,0.5517241379310345,0.7931034482758621
qwen,UTCO,1500,1,ACTION_OUTCOME,EXECUTABLE,30,0.4666666666666667,0.4666666666666667,0.3,0.6333333333333333
qwen,UTCO,1500,1,API_SCHEMA_OR_PARAMETER,EXECUTABLE,74,0.3783783783783784,0.3783783783783784,0.2702702702702703,0.4935810810810808
qwen,UTCO,1500,1,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,76,0.10526315789473684,0.10526315789473684,0.039473684210526314,0.18421052631578946
qwen,UTCO,1500,1,COMPLETED_SUBTASK,TASK_STATE,6,0.5,0.5,0.16666666666666666,0.8333333333333334
qwen,UTCO,1500,1,ENVIRONMENT_STATE,TASK_STATE,4,1.0,1.0,1.0,1.0
qwen,UTCO,1500,1,EXACT_IDENTIFIER,EXECUTABLE,26,0.46153846153846156,0.46153846153846156,0.28750000000000003,0.6538461538461539
qwen,UTCO,1500,1,NARRATIVE_GOAL,NARRATIVE,8,0.625,0.625,0.25,0.875
qwen,UTCO,1500,1,NARRATIVE_PROGRESS,NARRATIVE,12,0.08333333333333333,0.08333333333333333,0.0,0.25
qwen,UTCO,1500,1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,58,0.41379310344827586,0.41379310344827586,0.29310344827586204,0.5344827586206896
