compressor_model,prompt_variant,budget_chars,n,r2_need,r2_type,r2_both,sdi,coef_need_in_both
minimax,UTCO,1500,300,0.0031060364370930627,0.15514920572920932,0.15895547057021764,0.9607464347050033,0.32641474551711913
qwen,UTCO,1500,300,0.000590539061615214,0.11012525439182808,0.11080521893633688,0.9893322535140425,0.13304484476317463
