compressor_model,prompt_variant,budget_chars,fact_type,round,hazard,survival_rate
qwen,UTCO,1500,ACTION_OUTCOME,3,-0.07142854846938818,0.5
qwen,UTCO,1500,ACTION_OUTCOME,4,1.9999999656405976e-08,0.5
qwen,UTCO,1500,ACTION_OUTCOME,5,0.20000001599999973,0.4
qwen,UTCO,1500,API_SCHEMA_OR_PARAMETER,1,0.6216216216216216,0.3783783783783784
qwen,UTCO,1500,API_SCHEMA_OR_PARAMETER,2,0.03571431119897894,0.36486486486486486
qwen,UTCO,1500,API_SCHEMA_OR_PARAMETER,3,0.03703706342935442,0.35135135135135137
qwen,UTCO,1500,API_SCHEMA_OR_PARAMETER,4,2.8461537682211713e-08,0.35135135135135137
qwen,UTCO,1500,API_SCHEMA_OR_PARAMETER,5,-0.03846150890532618,0.36486486486486486
qwen,UTCO,1500,AUTH_OR_ACCESS_TOKEN,1,0.8947368421052632,0.10526315789473684
qwen,UTCO,1500,AUTH_OR_ACCESS_TOKEN,2,9.499999087392297e-08,0.10526315789473684
qwen,UTCO,1500,AUTH_OR_ACCESS_TOKEN,3,9.499999087392297e-08,0.10526315789473684
qwen,UTCO,1500,AUTH_OR_ACCESS_TOKEN,4,9.499999087392297e-08,0.10526315789473684
qwen,UTCO,1500,AUTH_OR_ACCESS_TOKEN,5,9.499999087392297e-08,0.10526315789473684
qwen,UTCO,1500,COMPLETED_SUBTASK,1,0.5,0.5
qwen,UTCO,1500,COMPLETED_SUBTASK,2,0.3333333466666665,0.3333333333333333
qwen,UTCO,1500,COMPLETED_SUBTASK,3,2.9999999040519754e-08,0.3333333333333333
qwen,UTCO,1500,COMPLETED_SUBTASK,4,-0.4999999550000014,0.5
qwen,UTCO,1500,COMPLETED_SUBTASK,5,0.3333333466666665,0.3333333333333333
qwen,UTCO,1500,ENVIRONMENT_STATE,1,0.0,1.0
qwen,UTCO,1500,ENVIRONMENT_STATE,2,9.999999828202988e-09,1.0
qwen,UTCO,1500,ENVIRONMENT_STATE,3,9.999999828202988e-09,1.0
qwen,UTCO,1500,ENVIRONMENT_STATE,4,9.999999828202988e-09,1.0
qwen,UTCO,1500,ENVIRONMENT_STATE,5,9.999999828202988e-09,1.0
qwen,UTCO,1500,EXACT_IDENTIFIER,1,0.5384615384615384,0.46153846153846156
qwen,UTCO,1500,EXACT_IDENTIFIER,2,2.1666666238928656e-08,0.46153846153846156
qwen,UTCO,1500,EXACT_IDENTIFIER,3,2.1666666238928656e-08,0.46153846153846156
qwen,UTCO,1500,EXACT_IDENTIFIER,4,2.1666666238928656e-08,0.46153846153846156
qwen,UTCO,1500,EXACT_IDENTIFIER,5,2.1666666238928656e-08,0.46153846153846156
qwen,UTCO,1500,NARRATIVE_GOAL,1,0.375,0.625
qwen,UTCO,1500,NARRATIVE_GOAL,2,1.59999997695337e-08,0.625
qwen,UTCO,1500,NARRATIVE_GOAL,3,1.59999997695337e-08,0.625
qwen,UTCO,1500,NARRATIVE_GOAL,4,1.59999997695337e-08,0.625
qwen,UTCO,1500,NARRATIVE_GOAL,5,1.59999997695337e-08,0.625
qwen,UTCO,1500,NARRATIVE_PROGRESS,1,0.9166666666666666,0.08333333333333333
