compressor_model,prompt_variant,budget_chars,n_pairs,preference_inversion_rate,ci_low,ci_high
minimax,UTCO,1500,33,0.21212121212121213,0.09090909090909091,0.36363636363636365
qwen,UTCO,1500,33,0.2727272727272727,0.12121212121212122,0.44015151515151446
