context_id,budget,setting,mean_jaccard,mean_sbert,n_pairs
locomo::conv-43::3f241a5523,128,within:A_plan,0.4238537520271266,0.7534800171852112,3
locomo::conv-43::3f241a5523,128,within:A_cot,0.12564814814814815,0.689154307047526,3
locomo::conv-43::3f241a5523,128,cross:A_react_vs_A_plan,0.2837611969204261,0.6790074772304959,9
locomo::conv-43::3f241a5523,128,cross:A_react_vs_A_cot,0.215560278109758,0.6677491201294793,9
locomo::conv-43::3f241a5523,128,cross:A_plan_vs_A_cot,0.2898655193538535,0.7421118285920885,9
locomo::conv-43::daebfad592,128,within:A_react,0.3786283891547049,0.6848938266436259,3
locomo::conv-43::daebfad592,128,within:A_plan,0.17833800186741364,0.46817808349927265,3
locomo::conv-43::daebfad592,128,within:A_cot,0.3520547945205479,0.6680053075154623,3
locomo::conv-43::daebfad592,128,cross:A_react_vs_A_plan,0.1933045221358931,0.5085333122147454,9
locomo::conv-43::daebfad592,128,cross:A_react_vs_A_cot,0.371130371921117,0.7154202924834357,9
locomo::conv-43::daebfad592,128,cross:A_plan_vs_A_cot,0.19378498581397133,0.5036949647797478,9
locomo::conv-44::6d402d63f0,128,within:A_react,0.5736405055849501,0.9371821482976278,3
locomo::conv-44::6d402d63f0,128,within:A_plan,0.26916804526501564,0.6609907348950704,3
locomo::conv-44::6d402d63f0,128,within:A_cot,0.5939223057644111,0.8197563290596008,3
locomo::conv-44::6d402d63f0,128,cross:A_react_vs_A_plan,0.4175895447968488,0.6140366593996683,9
locomo::conv-44::6d402d63f0,128,cross:A_react_vs_A_cot,0.4561120233567046,0.7575518356429206,9
locomo::conv-44::6d402d63f0,128,cross:A_plan_vs_A_cot,0.3827523757603632,0.6415919595294528,9
locomo::conv-44::56bff54de9,128,within:A_react,0.2149722577891592,0.7027938763300577,3
locomo::conv-44::56bff54de9,128,within:A_plan,0.08579496301480379,0.3730055093765259,3
locomo::conv-44::56bff54de9,128,within:A_cot,0.7489025460930642,0.968846837679545,3
locomo::conv-44::56bff54de9,128,cross:A_react_vs_A_plan,0.212245867367627,0.542275521490309,9
locomo::conv-44::56bff54de9,128,cross:A_react_vs_A_cot,0.3197301171280662,0.8156659139527215,9
locomo::conv-44::56bff54de9,128,cross:A_plan_vs_A_cot,0.20929512284372842,0.5844918688138326,9
locomo::conv-47::c7f9641c1d,128,within:A_react,0.2710417091923522,0.48681087295214337,3
locomo::conv-47::c7f9641c1d,128,within:A_plan,0.7125980660463419,0.9707242449124655,3
locomo::conv-47::c7f9641c1d,128,within:A_cot,0.3112910481331534,0.7570564150810242,3
locomo::conv-47::c7f9641c1d,128,cross:A_react_vs_A_plan,0.36342753779804166,0.6112925079133775,9
locomo::conv-47::c7f9641c1d,128,cross:A_react_vs_A_cot,0.32934858793285215,0.65689617395401,9
